,teams,home_wins,away_wins,all_wins,draws,losses,number_of_matches,avg_score,wins_percent_weighted,tier_score
127,Liberia,4,0,4,3,7,14,1.1428571428571428,0.022029897718332022,0.025177025963808025
128,Libya,3,2,5,5,10,20,1.5,0.039339103068450045,0.05900865460267507
129,Liechtenstein,1,2,3,5,19,27,1.1481481481481481,0.03186467348544453,0.036585365853658534
130,Lithuania,2,4,6,5,22,33,1.1515151515151516,0.07789142407553108,0.0896931549960661
131,Luxembourg,5,5,10,5,17,32,1.34375,0.12588512981904013,0.16915814319433517
132,Macau,2,0,2,1,5,8,1.125,0.006294256490952006,0.007081038552321007
133,Madagascar,7,3,10,7,10,27,1.4074074074074074,0.10621557828481511,0.14948859166011016
134,Malawi,4,3,7,12,6,25,1.16,0.06884343036978756,0.07985837922895356
135,Malaysia,13,4,17,4,8,29,1.9655172413793103,0.1939417781274587,0.38119590873328085
136,Maldives,3,2,5,1,6,12,1.6666666666666667,0.023603461841070022,0.03933910306845004
137,Mali,6,3,9,7,5,21,1.619047619047619,0.07435090479937058,0.12037765538945713
138,Malta,4,1,5,8,18,31,1.1935483870967742,0.06097560975609756,0.07277734067663258
139,Martinique,3,3,6,4,3,13,1.6923076923076923,0.030684500393391028,0.05192761605035405
140,Matabeleland,1,1,2,1,2,5,1.4,0.003933910306845004,0.0055074744295830055
141,Mauritania,6,2,8,7,9,24,1.2916666666666667,0.07553107789142408,0.0975609756097561
142,Mauritius,1,3,4,2,11,17,1.1764705882352942,0.026750590086546025,0.03147128245476003
143,Mexico,13,12,25,3,11,39,1.7179487179487178,0.3835562549173879,0.658929976396538
144,Moldova,2,1,3,8,23,34,1.0294117647058822,0.04012588512981904,0.041306058221872534
145,Mongolia,4,1,5,3,12,20,1.55,0.039339103068450045,0.060975609756097573
146,Montenegro,6,4,10,10,11,31,1.4516129032258065,0.12195121951219512,0.17702596380802518
147,Montserrat,2,3,5,4,3,12,1.3333333333333333,0.023603461841070022,0.031471282454760025
148,Morocco,13,6,19,10,6,35,1.5714285714285714,0.26160503540519275,0.4110936270653029
149,Mozambique,4,3,7,3,6,16,1.4375,0.044059795436664044,0.06333595594020457
150,Myanmar,3,2,5,2,9,16,1.4375,0.03147128245476003,0.04523996852871755
151,Namibia,6,6,12,6,11,29,1.3793103448275863,0.13690007867820614,0.1888276947285602
152,Nepal,2,2,4,4,10,18,1.2777777777777777,0.02832415420928403,0.03619197482297403
153,Netherlands,9,7,16,8,7,31,1.967741935483871,0.1951219512195122,0.3839496459480724
154,New Caledonia,2,4,6,2,3,11,2.272727272727273,0.025963808025177025,0.05900865460267506
155,New Zealand,0,2,2,0,4,6,1.1666666666666667,0.004720692368214005,0.0055074744295830055
156,Nicaragua,3,4,7,6,11,24,1.6666666666666667,0.06608969315499606,0.11014948859166011
157,Niger,4,0,4,4,8,16,1.3125,0.025177025963808025,0.03304484657749803
158,Nigeria,11,8,19,7,11,37,1.4324324324324325,0.2765538945712038,0.39614476789929187
159,North Korea,4,4,8,4,8,20,1.45,0.06294256490952006,0.09126671911880409
160,North Macedonia,9,4,13,7,7,27,1.6666666666666667,0.13808025177025962,0.2301337529504327
161,Northern Cyprus,2,1,3,3,0,6,2.5,0.007081038552321007,0.01770259638080252
162,Northern Ireland,5,3,8,6,14,28,1.25,0.08811959087332809,0.11014948859166011
163,Northern Mariana Islands,0,0,0,1,2,3,1.0,0.0,0.0
164,Norway,9,8,17,7,5,29,1.6896551724137931,0.1939417781274587,0.32769472856018883
165,Oman,11,2,13,11,6,30,1.3,0.15342250196695514,0.19944925255704168
166,Orkney,0,1,1,0,3,4,1.25,0.0015735641227380016,0.001966955153422502
167,Padania,6,0,6,2,3,11,2.272727272727273,0.025963808025177025,0.05900865460267506
168,Pakistan,1,1,2,0,6,8,1.25,0.006294256490952006,0.007867820613690008
169,Palestine,3,1,4,9,11,24,1.1666666666666667,0.03776553894571204,0.044059795436664044
170,Panama,2,6,8,5,20,33,1.303030303030303,0.1038552321007081,0.13532651455546812
171,Panjab,1,1,2,2,3,7,2.5714285714285716,0.0055074744295830055,0.014162077104642016
172,Papua New Guinea,2,1,3,1,0,4,3.25,0.004720692368214005,0.015342250196695516
173,Paraguay,1,3,4,10,6,20,1.45,0.03147128245476003,0.045633359559402044
174,Parishes of Jersey,2,0,2,0,1,3,2.6666666666666665,0.0023603461841070024,0.006294256490952006
175,Peru,6,5,11,6,16,33,1.4242424242424243,0.14280094413847363,0.2033831628638867
176,Philippines,3,3,6,5,9,20,1.5,0.04720692368214005,0.07081038552321008
177,Poland,10,6,16,7,11,34,1.6176470588235294,0.2140047206923682,0.34618410700236035
178,Portugal,12,8,20,12,4,36,1.8888888888888888,0.28324154209284025,0.5350118017309204
179,Puerto Rico,1,2,3,1,9,13,1.2307692307692308,0.015342250196695514,0.01888276947285602
180,Qatar,16,8,24,6,10,40,1.825,0.3776553894571204,0.6892210857592447
181,Republic of Ireland,5,1,6,12,11,29,1.1724137931034482,0.06845003933910307,0.08025177025963807
182,Romania,9,6,15,7,8,30,1.7,0.17702596380802518,0.3009441384736428
183,Russia,10,7,17,7,12,36,1.8611111111111112,0.24075531077891424,0.44807238394964594
184,Rwanda,3,3,6,4,4,14,1.5,0.03304484657749803,0.04956726986624704
185,Saint Helena,0,0,0,0,4,4,1.25,0.0,0.0
186,Saint Kitts and Nevis,3,3,6,2,7,15,2.066666666666667,0.03540519276160504,0.07317073170731708
187,Saint Lucia,2,1,3,2,5,10,1.3,0.011801730920535013,0.015342250196695517
188,Saint Martin,2,2,4,0,7,11,1.5454545454545454,0.017309205350118016,0.026750590086546025
189,Saint Vincent and the Grenadines,5,2,7,4,5,16,1.25,0.044059795436664044,0.05507474429583006
190,Samoa,1,0,1,0,2,3,1.3333333333333333,0.0011801730920535012,0.0015735641227380016
191,San Marino,0,0,0,2,23,25,1.0,0.0,0.0
192,Saudi Arabia,10,6,16,9,14,39,1.4871794871794872,0.24547600314712822,0.36506687647521635
193,Scotland,8,5,13,3,13,29,1.5517241379310345,0.14830841856805663,0.2301337529504327
194,Senegal,9,6,15,7,7,29,1.4482758620689655,0.17112509834775766,0.24783634933123525
195,Serbia,9,6,15,11,8,34,1.6470588235294117,0.2006294256490952,0.3304484657749803
196,Seychelles,0,0,0,5,10,15,1.0,0.0,0.0
197,Shetland,0,1,1,0,3,4,2.0,0.0015735641227380016,0.003147128245476003
198,Sierra Leone,1,0,1,3,5,9,1.0,0.0035405192761605035,0.0035405192761605035
199,Singapore,7,2,9,4,7,20,1.6,0.07081038552321008,0.11329661683713613
200,Sint Maarten,1,0,1,1,7,9,1.4444444444444444,0.0035405192761605035,0.005114083398898505
201,Slovakia,8,3,11,7,11,29,1.5862068965517242,0.12549173878835562,0.1990558615263572
202,Slovenia,7,4,11,8,11,30,1.4333333333333333,0.12981904012588513,0.18607395751376868
203,Solomon Islands,2,3,5,2,3,10,3.4,0.019669551534225022,0.06687647521636507
204,Somalia,1,0,1,0,3,4,1.0,0.0015735641227380016,0.0015735641227380016
205,Somaliland,0,0,0,0,1,1,2.0,0.0,0.0
206,South Africa,4,3,7,11,8,26,1.2692307692307692,0.07159716758457907,0.09087332808811958
207,South Korea,16,4,20,10,10,40,1.525,0.31471282454760036,0.4799370574350905
208,South Ossetia,1,2,3,2,0,5,1.6,0.005900865460267506,0.009441384736428011
209,South Sudan,1,1,2,2,11,15,1.1333333333333333,0.011801730920535011,0.013375295043273012
210,Spain,12,8,20,12,3,35,2.0285714285714285,0.27537372147915024,0.5586152635719904
211,Sri Lanka,1,1,2,2,11,15,1.1333333333333333,0.011801730920535011,0.013375295043273012
212,Sudan,3,5,8,5,5,18,1.4444444444444444,0.05664830841856806,0.08182533438237607
213,Suriname,5,3,8,2,2,12,2.3333333333333335,0.03776553894571204,0.08811959087332809
214,Surrey,0,1,1,0,0,1,3.0,0.0003933910306845004,0.0011801730920535012
215,Sweden,9,10,19,9,14,42,1.5238095238095237,0.3139260424862313,0.4783634933123524
216,Switzerland,10,6,16,9,10,35,1.7714285714285714,0.2202989771833202,0.39024390243902435
217,Syria,5,5,10,7,10,27,1.4444444444444444,0.10621557828481511,0.15342250196695514
218,Székely Land,2,1,3,2,6,11,1.9090909090909092,0.012981904012588513,0.024783634933123525
219,Sápmi,1,0,1,0,4,5,1.4,0.001966955153422502,0.0027537372147915028
